,2021rank,City,State[c],2021estimate,2020census,Change,2020 land area,2020 land area.1,2020 population density,2020 population density.1,Location
141,142,Chattanooga,Tennessee,182113,181099,+0.56%,142.4 sq mi,368.8 km2,"1,272/sq mi",491/km2,35°04′N 85°15′W﻿ / ﻿35.07°N 85.25°W
142,143,Fort Lauderdale,Florida,181668,182760,−0.60%,34.6 sq mi,89.6 km2,"5,282/sq mi","2,039/km2",26°08′N 80°09′W﻿ / ﻿26.14°N 80.15°W
143,144,Aurora,Illinois,179266,180542,−0.71%,45.0 sq mi,116.5 km2,"4,012/sq mi","1,549/km2",41°46′N 88°17′W﻿ / ﻿41.76°N 88.29°W
144,145,Elk Grove,California,178997,176124,+1.63%,42.0 sq mi,108.8 km2,"4,193/sq mi","1,619/km2",38°25′N 121°23′W﻿ / ﻿38.41°N 121.38°W
145,146,Ontario,California,177963,175265,+1.54%,50.0 sq mi,129.5 km2,"3,505/sq mi","1,353/km2",34°02′N 117°36′W﻿ / ﻿34.04°N 117.60°W
146,147,Salem,Oregon,177723,175535,+1.25%,48.8 sq mi,126.4 km2,"3,597/sq mi","1,389/km2",44°55′N 123°01′W﻿ / ﻿44.92°N 123.02°W
147,148,Cary,North Carolina,176987,174721,+1.30%,59.2 sq mi,153.3 km2,"2,951/sq mi","1,139/km2",35°47′N 78°49′W﻿ / ﻿35.78°N 78.82°W
148,149,Santa Rosa,California,176938,178127,−0.67%,42.5 sq mi,110.1 km2,"4,191/sq mi","1,618/km2",38°27′N 122°43′W﻿ / ﻿38.45°N 122.71°W
149,150,Rancho Cucamonga,California,175142,174453,+0.39%,40.1 sq mi,103.9 km2,"4,350/sq mi","1,680/km2",34°07′N 117°34′W﻿ / ﻿34.12°N 117.56°W
150,151,Eugene,Oregon,175096,176654,−0.88%,44.2 sq mi,114.5 km2,"3,997/sq mi","1,543/km2",44°04′N 123°07′W﻿ / ﻿44.06°N 123.12°W
151,152,Oceanside,California,172982,174068,−0.62%,41.3 sq mi,107.0 km2,"4,215/sq mi","1,627/km2",33°13′N 117°19′W﻿ / ﻿33.22°N 117.31°W
152,153,Clarksville,Tennessee,170957,166722,+2.54%,99.4 sq mi,257.4 km2,"1,677/sq mi",647/km2,36°34′N 87°21′W﻿ / ﻿36.57°N 87.35°W
153,154,Garden Grove,California,170488,171949,−0.85%,18.0 sq mi,46.6 km2,"9,553/sq mi","3,688/km2",33°47′N 117°58′W﻿ / ﻿33.78°N 117.96°W
154,155,Lancaster,California,170150,173516,−1.94%,94.3 sq mi,244.2 km2,"1,840/sq mi",710/km2,34°41′N 118°11′W﻿ / ﻿34.69°N 118.18°W
155,156,Springfield,Missouri,169724,169176,+0.32%,82.4 sq mi,213.4 km2,"2,053/sq mi",793/km2,37°11′N 93°17′W﻿ / ﻿37.19°N 93.29°W
156,157,Pembroke Pines,Florida,169391,171178,−1.04%,32.7 sq mi,84.7 km2,"5,235/sq mi","2,021/km2",26°01′N 80°20′W﻿ / ﻿26.01°N 80.34°W
157,158,Fort Collins,Colorado,168538,169810,−0.75%,57.2 sq mi,148.1 km2,"2,969/sq mi","1,146/km2",40°33′N 105°04′W﻿ / ﻿40.55°N 105.06°W
158,159,Palmdale,California,165761,169450,−2.18%,106.1 sq mi,274.8 km2,"1,597/sq mi",617/km2,34°35′N 118°07′W﻿ / ﻿34.59°N 118.11°W
159,160,Salinas,California,162791,163542,−0.46%,23.5 sq mi,60.9 km2,"6,959/sq mi","2,687/km2",36°41′N 121°38′W﻿ / ﻿36.69°N 121.63°W
160,161,Hayward,California,159827,162954,−1.92%,45.8 sq mi,118.6 km2,"3,558/sq mi","1,374/km2",37°38′N 122°06′W﻿ / ﻿37.63°N 122.10°W
161,162,Corona,California,159743,157136,+1.66%,39.9 sq mi,103.3 km2,"3,938/sq mi","1,520/km2",33°52′N 117°34′W﻿ / ﻿33.86°N 117.57°W
162,163,Paterson,New Jersey,157794,159732,−1.21%,8.4 sq mi,21.8 km2,"19,016/sq mi","7,342/km2",40°55′N 74°10′W﻿ / ﻿40.91°N 74.16°W
163,164,Murfreesboro,Tennessee,157519,152769,+3.11%,62.9 sq mi,162.9 km2,"2,429/sq mi",938/km2,35°51′N 86°25′W﻿ / ﻿35.85°N 86.42°W
164,165,Macon[w],Georgia,156762,157346,−0.37%,249.4 sq mi,645.9 km2,631/sq mi,244/km2,32°49′N 83°41′W﻿ / ﻿32.81°N 83.69°W
165,166,Lakewood,Colorado,156605,155984,+0.40%,43.5 sq mi,112.7 km2,"3,586/sq mi","1,385/km2",39°42′N 105°07′W﻿ / ﻿39.70°N 105.12°W
166,167,Killeen,Texas,156261,153095,+2.07%,54.8 sq mi,141.9 km2,"2,794/sq mi","1,079/km2",31°05′N 97°44′W﻿ / ﻿31.08°N 97.73°W
167,168,Springfield,Massachusetts,154789,155929,−0.73%,31.9 sq mi,82.6 km2,"4,888/sq mi","1,887/km2",42°07′N 72°32′W﻿ / ﻿42.12°N 72.54°W
168,169,Alexandria[m],Virginia,154706,159467,−2.99%,14.9 sq mi,38.6 km2,"10,702/sq mi","4,132/km2",38°49′N 77°05′W﻿ / ﻿38.82°N 77.08°W
169,170,Kansas City[x],Kansas,154545,156607,−1.32%,124.7 sq mi,323.0 km2,"1,256/sq mi",485/km2,39°07′N 94°44′W﻿ / ﻿39.12°N 94.74°W
170,171,Sunnyvale,California,152258,155805,−2.28%,22.1 sq mi,57.2 km2,"7,050/sq mi","2,720/km2",37°23′N 122°02′W﻿ / ﻿37.39°N 122.03°W
171,172,Hollywood,Florida,152131,153067,−0.61%,27.3 sq mi,70.7 km2,"5,607/sq mi","2,165/km2",26°02′N 80°10′W﻿ / ﻿26.03°N 80.16°W
172,173,Roseville,California,151901,147773,+2.79%,44.1 sq mi,114.2 km2,"3,351/sq mi","1,294/km2",38°46′N 121°19′W﻿ / ﻿38.77°N 121.32°W
173,174,Charleston,South Carolina,151612,150227,+0.92%,114.8 sq mi,297.3 km2,"1,309/sq mi",505/km2,32°50′N 79°58′W﻿ / ﻿32.83°N 79.97°W
174,175,Escondido,California,150665,151038,−0.25%,37.3 sq mi,96.6 km2,"4,049/sq mi","1,563/km2",33°08′N 117°04′W﻿ / ﻿33.13°N 117.07°W
175,176,Joliet,Illinois,150372,150362,+0.01%,64.5 sq mi,167.1 km2,"2,331/sq mi",900/km2,41°31′N 88°09′W﻿ / ﻿41.52°N 88.15°W
176,177,Jackson,Mississippi,149761,153701,−2.56%,111.7 sq mi,289.3 km2,"1,376/sq mi",531/km2,32°19′N 90°13′W﻿ / ﻿32.32°N 90.21°W
177,178,Bellevue,Washington,149440,151854,−1.59%,33.5 sq mi,86.8 km2,"4,533/sq mi","1,750/km2",47°36′N 122°10′W﻿ / ﻿47.60°N 122.16°W
178,179,Surprise,Arizona,149191,143148,+4.22%,110.3 sq mi,285.7 km2,"1,298/sq mi",501/km2,33°40′N 112°27′W﻿ / ﻿33.67°N 112.45°W
179,180,Naperville,Illinois,149104,149540,−0.29%,39.1 sq mi,101.3 km2,"3,825/sq mi","1,477/km2",41°45′N 88°10′W﻿ / ﻿41.75°N 88.16°W
180,181,Pasadena,Texas,148626,151950,−2.19%,43.7 sq mi,113.2 km2,"3,477/sq mi","1,342/km2",29°39′N 95°09′W﻿ / ﻿29.65°N 95.15°W
181,182,Pomona,California,148338,151713,−2.22%,23.0 sq mi,59.6 km2,"6,596/sq mi","2,547/km2",34°04′N 117°46′W﻿ / ﻿34.06°N 117.76°W
182,183,Bridgeport,Connecticut,148333,148654,−0.22%,16.1 sq mi,41.7 km2,"9,233/sq mi","3,565/km2",41°11′N 73°12′W﻿ / ﻿41.19°N 73.20°W
183,184,Denton,Texas,148146,139869,+5.92%,96.4 sq mi,249.7 km2,"1,451/sq mi",560/km2,33°13′N 97°08′W﻿ / ﻿33.22°N 97.14°W
184,185,Rockford,Illinois,147711,148655,−0.64%,64.5 sq mi,167.1 km2,"2,305/sq mi",890/km2,42°16′N 89°04′W﻿ / ﻿42.26°N 89.06°W
185,186,Mesquite,Texas,147691,150108,−1.61%,48.5 sq mi,125.6 km2,"3,095/sq mi","1,195/km2",32°46′N 96°35′W﻿ / ﻿32.76°N 96.59°W
186,187,Savannah,Georgia,147088,147780,−0.47%,106.8 sq mi,276.6 km2,"1,384/sq mi",534/km2,32°00′N 81°09′W﻿ / ﻿32.00°N 81.15°W
187,188,Syracuse,New York,146103,148620,−1.69%,25.1 sq mi,65.0 km2,"5,921/sq mi","2,286/km2",43°02′N 76°08′W﻿ / ﻿43.04°N 76.14°W
188,189,McAllen,Texas,143920,142210,+1.20%,62.3 sq mi,161.4 km2,"2,283/sq mi",881/km2,26°13′N 98°15′W﻿ / ﻿26.22°N 98.25°W
189,190,Torrance,California,143600,147067,−2.36%,20.5 sq mi,53.1 km2,"7,174/sq mi","2,770/km2",33°50′N 118°22′W﻿ / ﻿33.83°N 118.36°W
190,191,Olathe,Kansas,143014,141290,+1.22%,61.9 sq mi,160.3 km2,"2,283/sq mi",881/km2,38°53′N 94°49′W﻿ / ﻿38.88°N 94.82°W
191,192,Visalia,California,142978,141384,+1.13%,37.9 sq mi,98.2 km2,"3,730/sq mi","1,440/km2",36°20′N 119°20′W﻿ / ﻿36.33°N 119.33°W
192,193,Thornton,Colorado,142610,141867,+0.52%,35.9 sq mi,93.0 km2,"3,952/sq mi","1,526/km2",39°55′N 104°56′W﻿ / ﻿39.92°N 104.94°W
193,194,Fullerton,California,141874,143617,−1.21%,22.4 sq mi,58.0 km2,"6,411/sq mi","2,475/km2",33°53′N 117°56′W﻿ / ﻿33.89°N 117.93°W
194,195,Gainesville,Florida,140398,141085,−0.49%,63.2 sq mi,163.7 km2,"2,232/sq mi",862/km2,29°41′N 82°21′W﻿ / ﻿29.68°N 82.35°W
195,196,Waco,Texas,139594,138486,+0.80%,88.7 sq mi,229.7 km2,"1,561/sq mi",603/km2,31°34′N 97°11′W﻿ / ﻿31.56°N 97.19°W
196,197,West Valley City,Utah,139110,140230,−0.80%,35.8 sq mi,92.7 km2,"3,917/sq mi","1,512/km2",40°41′N 112°01′W﻿ / ﻿40.69°N 112.01°W
197,198,Warren,Michigan,138130,139387,−0.90%,34.4 sq mi,89.1 km2,"4,052/sq mi","1,564/km2",42°29′N 83°02′W﻿ / ﻿42.49°N 83.03°W
198,199,Lakewood,New Jersey,138070,135158,+2.15%,24.7 sq mi,64.0 km2,"5,472/sq mi","2,113/km2",40°05′N 74°12′W﻿ / ﻿40.08°N 74.20°W
199,200,Hampton[m],Virginia,137746,137148,+0.44%,51.5 sq mi,133.4 km2,"2,663/sq mi","1,028/km2",37°03′N 76°18′W﻿ / ﻿37.05°N 76.30°W
200,201,Dayton,Ohio,137571,137644,−0.05%,55.8 sq mi,144.5 km2,"2,467/sq mi",953/km2,39°47′N 84°12′W﻿ / ﻿39.78°N 84.20°W
201,202,Columbia,South Carolina,137541,136632,+0.67%,136.8 sq mi,354.3 km2,999/sq mi,386/km2,34°02′N 80°55′W﻿ / ﻿34.04°N 80.91°W
202,203,Orange,California,137264,139911,−1.89%,25.7 sq mi,66.6 km2,"5,444/sq mi","2,102/km2",33°47′N 117°52′W﻿ / ﻿33.79°N 117.86°W
203,204,Cedar Rapids,Iowa,136467,137710,−0.90%,72.1 sq mi,186.7 km2,"1,910/sq mi",740/km2,41°58′N 91°41′W﻿ / ﻿41.97°N 91.68°W
204,205,Stamford,Connecticut,136309,135470,+0.62%,37.6 sq mi,97.4 km2,"3,603/sq mi","1,391/km2",41°05′N 73°33′W﻿ / ﻿41.08°N 73.55°W
205,206,Victorville,California,135950,134810,+0.85%,73.7 sq mi,190.9 km2,"1,829/sq mi",706/km2,34°32′N 117°21′W﻿ / ﻿34.53°N 117.35°W
206,207,Pasadena,California,135732,138699,−2.14%,23.0 sq mi,59.6 km2,"6,030/sq mi","2,330/km2",34°10′N 118°08′W﻿ / ﻿34.16°N 118.14°W
207,208,Elizabeth,New Jersey,135407,137298,−1.38%,12.3 sq mi,31.9 km2,"11,162/sq mi","4,310/km2",40°40′N 74°11′W﻿ / ﻿40.67°N 74.19°W
208,209,New Haven,Connecticut,135081,134023,+0.79%,18.7 sq mi,48.4 km2,"7,167/sq mi","2,767/km2",41°19′N 72°55′W﻿ / ﻿41.31°N 72.92°W
209,210,Miramar,Florida,135077,134721,+0.26%,28.9 sq mi,74.9 km2,"4,662/sq mi","1,800/km2",25°58′N 80°20′W﻿ / ﻿25.97°N 80.34°W
210,211,Kent,Washington,134835,136588,−1.28%,33.8 sq mi,87.5 km2,"4,041/sq mi","1,560/km2",47°23′N 122°13′W﻿ / ﻿47.39°N 122.21°W
211,212,Sterling Heights,Michigan,133269,134346,−0.80%,36.4 sq mi,94.3 km2,"3,691/sq mi","1,425/km2",42°35′N 83°02′W﻿ / ﻿42.58°N 83.03°W
212,213,Carrollton,Texas,133251,133434,−0.14%,36.7 sq mi,95.1 km2,"3,636/sq mi","1,404/km2",32°59′N 96°54′W﻿ / ﻿32.99°N 96.90°W
213,214,Coral Springs,Florida,132822,134394,−1.17%,22.9 sq mi,59.3 km2,"5,869/sq mi","2,266/km2",26°16′N 80°16′W﻿ / ﻿26.27°N 80.26°W
214,215,Midland,Texas,131325,132524,−0.90%,75.5 sq mi,195.5 km2,"1,755/sq mi",678/km2,32°01′N 102°07′W﻿ / ﻿32.02°N 102.11°W
215,216,Norman,Oklahoma,128097,128026,+0.06%,178.8 sq mi,463.1 km2,716/sq mi,276/km2,35°14′N 97°21′W﻿ / ﻿35.24°N 97.35°W
216,217,Athens[y],Georgia,127358,127315,+0.03%,116.3 sq mi,301.2 km2,"1,095/sq mi",423/km2,33°57′N 83°22′W﻿ / ﻿33.95°N 83.37°W
217,218,Santa Clara,California,127151,127647,−0.39%,18.3 sq mi,47.4 km2,"6,975/sq mi","2,693/km2",37°22′N 121°58′W﻿ / ﻿37.36°N 121.97°W
218,219,Columbia,Missouri,126853,126254,+0.47%,66.5 sq mi,172.2 km2,"1,899/sq mi",733/km2,38°57′N 92°20′W﻿ / ﻿38.95°N 92.33°W
219,220,Fargo,North Dakota,126748,125990,+0.60%,49.8 sq mi,129.0 km2,"2,530/sq mi",980/km2,46°52′N 96°50′W﻿ / ﻿46.86°N 96.83°W
220,221,Pearland,Texas,125990,125828,+0.13%,48.7 sq mi,126.1 km2,"2,584/sq mi",998/km2,29°34′N 95°19′W﻿ / ﻿29.56°N 95.32°W
221,222,Simi Valley,California,125975,126356,−0.30%,41.5 sq mi,107.5 km2,"3,045/sq mi","1,176/km2",34°16′N 118°45′W﻿ / ﻿34.27°N 118.75°W
222,223,Meridian,Idaho,125963,117635,+7.08%,35.1 sq mi,90.9 km2,"3,351/sq mi","1,294/km2",43°37′N 116°24′W﻿ / ﻿43.61°N 116.40°W
223,223,Topeka,Kansas,125963,126587,−0.49%,61.4 sq mi,159.0 km2,"2,062/sq mi",796/km2,39°02′N 95°41′W﻿ / ﻿39.03°N 95.69°W
224,225,Allentown,Pennsylvania,125944,125845,+0.08%,17.6 sq mi,45.6 km2,"7,150/sq mi","2,760/km2",40°35′N 75°29′W﻿ / ﻿40.59°N 75.48°W
225,226,Thousand Oaks,California,125754,126966,−0.95%,55.3 sq mi,143.2 km2,"2,296/sq mi",886/km2,34°11′N 118°52′W﻿ / ﻿34.19°N 118.87°W
226,227,Abilene,Texas,125070,125182,−0.09%,106.7 sq mi,276.4 km2,"1,173/sq mi",453/km2,32°27′N 99°44′W﻿ / ﻿32.45°N 99.74°W
227,228,Vallejo,California,124886,126090,−0.95%,30.4 sq mi,78.7 km2,"4,148/sq mi","1,602/km2",38°07′N 122°16′W﻿ / ﻿38.11°N 122.26°W
228,229,Concord,California,124074,125410,−1.07%,30.6 sq mi,79.3 km2,"4,098/sq mi","1,582/km2",37°58′N 122°00′W﻿ / ﻿37.97°N 122.00°W
229,230,Round Rock,Texas,123876,119468,+3.69%,37.6 sq mi,97.4 km2,"3,177/sq mi","1,227/km2",30°32′N 97°40′W﻿ / ﻿30.53°N 97.66°W
230,231,Arvada,Colorado,123436,124402,−0.78%,38.9 sq mi,100.8 km2,"3,198/sq mi","1,235/km2",39°50′N 105°09′W﻿ / ﻿39.83°N 105.15°W
231,232,Clovis,California,122989,120124,+2.39%,25.4 sq mi,65.8 km2,"4,729/sq mi","1,826/km2",36°50′N 119°41′W﻿ / ﻿36.83°N 119.68°W
232,233,Palm Bay,Florida,122942,119760,+2.66%,86.4 sq mi,223.8 km2,"1,386/sq mi",535/km2,27°58′N 80°40′W﻿ / ﻿27.96°N 80.66°W
233,234,Independence,Missouri,122088,123011,−0.75%,78.0 sq mi,202.0 km2,"1,577/sq mi",609/km2,39°05′N 94°21′W﻿ / ﻿39.09°N 94.35°W
234,235,Lafayette[z],Louisiana,121771,121374,+0.33%,55.8 sq mi,144.5 km2,"2,175/sq mi",840/km2,30°13′N 92°02′W﻿ / ﻿30.21°N 92.03°W
235,236,Ann Arbor,Michigan,121536,123851,−1.87%,28.2 sq mi,73.0 km2,"4,392/sq mi","1,696/km2",42°17′N 83°44′W﻿ / ﻿42.28°N 83.73°W
236,237,Rochester,Minnesota,121465,121395,+0.06%,55.5 sq mi,143.7 km2,"2,187/sq mi",844/km2,44°01′N 92°29′W﻿ / ﻿44.02°N 92.48°W
237,238,Hartford,Connecticut,120576,121054,−0.39%,17.4 sq mi,45.1 km2,"6,957/sq mi","2,686/km2",41°46′N 72°41′W﻿ / ﻿41.77°N 72.68°W
238,239,College Station,Texas,120019,120511,−0.41%,51.2 sq mi,132.6 km2,"2,354/sq mi",909/km2,30°35′N 96°18′W﻿ / ﻿30.59°N 96.30°W
239,240,Fairfield,California,119705,119881,−0.15%,41.6 sq mi,107.7 km2,"2,882/sq mi","1,113/km2",38°16′N 122°02′W﻿ / ﻿38.26°N 122.03°W
240,241,Wilmington,North Carolina,117643,115451,+1.90%,51.4 sq mi,133.1 km2,"2,246/sq mi",867/km2,34°13′N 77°53′W﻿ / ﻿34.21°N 77.89°W
241,242,North Charleston,South Carolina,117472,114852,+2.28%,77.6 sq mi,201.0 km2,"1,480/sq mi",570/km2,32°55′N 80°04′W﻿ / ﻿32.92°N 80.07°W
242,243,Billings,Montana,117445,117116,+0.28%,44.8 sq mi,116.0 km2,"2,614/sq mi","1,009/km2",45°47′N 108°33′W﻿ / ﻿45.79°N 108.55°W
243,244,West Palm Beach,Florida,117286,117415,−0.11%,53.8 sq mi,139.3 km2,"2,182/sq mi",842/km2,26°45′N 80°08′W﻿ / ﻿26.75°N 80.13°W
244,245,Berkeley,California,117145,124321,−5.77%,10.4 sq mi,26.9 km2,"11,954/sq mi","4,615/km2",37°52′N 122°18′W﻿ / ﻿37.87°N 122.30°W
245,246,Cambridge,Massachusetts,117090,118403,−1.11%,6.4 sq mi,16.6 km2,"18,500/sq mi","7,100/km2",42°23′N 71°07′W﻿ / ﻿42.38°N 71.12°W
246,247,Clearwater,Florida,116674,117292,−0.53%,26.1 sq mi,67.6 km2,"4,494/sq mi","1,735/km2",27°59′N 82°46′W﻿ / ﻿27.98°N 82.77°W
247,248,West Jordan,Utah,116541,116961,−0.36%,32.3 sq mi,83.7 km2,"3,621/sq mi","1,398/km2",40°36′N 112°00′W﻿ / ﻿40.60°N 112.00°W
248,249,Evansville,Indiana,116486,117298,−0.69%,47.4 sq mi,122.8 km2,"2,475/sq mi",956/km2,37°59′N 87°32′W﻿ / ﻿37.99°N 87.53°W
249,250,Richardson,Texas,116382,119469,−2.58%,28.6 sq mi,74.1 km2,"4,177/sq mi","1,613/km2",32°58′N 96°43′W﻿ / ﻿32.97°N 96.71°W
250,251,Broken Arrow,Oklahoma,116330,113540,+2.46%,63.0 sq mi,163.2 km2,"1,802/sq mi",696/km2,36°02′N 95°47′W﻿ / ﻿36.04°N 95.78°W
251,252,Richmond,California,115639,116448,−0.69%,30.1 sq mi,78.0 km2,"3,869/sq mi","1,494/km2",37°57′N 122°22′W﻿ / ﻿37.95°N 122.36°W
252,253,League City,Texas,115595,114392,+1.05%,51.3 sq mi,132.9 km2,"2,230/sq mi",860/km2,29°29′N 95°07′W﻿ / ﻿29.49°N 95.11°W
253,254,Manchester,New Hampshire,115462,115644,−0.16%,33.1 sq mi,85.7 km2,"3,494/sq mi","1,349/km2",42°59′N 71°26′W﻿ / ﻿42.98°N 71.44°W
254,255,Lakeland,Florida,115425,112641,+2.47%,66.2 sq mi,171.5 km2,"1,702/sq mi",657/km2,28°04′N 81°57′W﻿ / ﻿28.06°N 81.95°W
255,256,Carlsbad,California,115302,114746,+0.48%,37.8 sq mi,97.9 km2,"3,036/sq mi","1,172/km2",33°08′N 117°17′W﻿ / ﻿33.13°N 117.28°W
256,257,Antioch,California,114794,115291,−0.43%,29.2 sq mi,75.6 km2,"3,948/sq mi","1,524/km2",37°59′N 121°48′W﻿ / ﻿37.98°N 121.80°W
257,258,Westminster,Colorado,114561,116317,−1.51%,31.6 sq mi,81.8 km2,"3,681/sq mi","1,421/km2",39°53′N 105°04′W﻿ / ﻿39.88°N 105.06°W
258,259,High Point,North Carolina,114086,114059,+0.02%,56.4 sq mi,146.1 km2,"2,022/sq mi",781/km2,35°59′N 79°59′W﻿ / ﻿35.99°N 79.99°W
259,260,Provo,Utah,114084,115162,−0.94%,41.7 sq mi,108.0 km2,"2,762/sq mi","1,066/km2",40°15′N 111°39′W﻿ / ﻿40.25°N 111.65°W
260,261,Lowell,Massachusetts,113994,115554,−1.35%,13.6 sq mi,35.2 km2,"8,497/sq mi","3,281/km2",42°38′N 71°19′W﻿ / ﻿42.64°N 71.32°W
261,262,Elgin,Illinois,113911,114797,−0.77%,38.0 sq mi,98.4 km2,"3,021/sq mi","1,166/km2",42°02′N 88°20′W﻿ / ﻿42.04°N 88.33°W
262,263,Waterbury,Connecticut,113811,114403,−0.52%,28.5 sq mi,73.8 km2,"4,014/sq mi","1,550/km2",41°34′N 73°02′W﻿ / ﻿41.56°N 73.04°W
263,264,Springfield,Illinois,113394,114394,−0.87%,61.1 sq mi,158.2 km2,"1,872/sq mi",723/km2,39°47′N 89°38′W﻿ / ﻿39.79°N 89.64°W
264,265,Gresham,Oregon,113103,114247,−1.00%,23.5 sq mi,60.9 km2,"4,862/sq mi","1,877/km2",45°30′N 122°26′W﻿ / ﻿45.50°N 122.44°W
265,266,Murrieta,California,112991,110949,+1.84%,33.6 sq mi,87.0 km2,"3,302/sq mi","1,275/km2",33°34′N 117°11′W﻿ / ﻿33.57°N 117.19°W
266,267,Lewisville,Texas,112944,111822,+1.00%,37.0 sq mi,95.8 km2,"3,022/sq mi","1,167/km2",33°03′N 96°59′W﻿ / ﻿33.05°N 96.98°W
267,268,Las Cruces,New Mexico,112914,111385,+1.37%,76.9 sq mi,199.2 km2,"1,448/sq mi",559/km2,32°20′N 106°47′W﻿ / ﻿32.33°N 106.79°W
268,269,Lansing,Michigan,112684,112644,+0.04%,39.1 sq mi,101.3 km2,"2,881/sq mi","1,112/km2",42°43′N 84°34′W﻿ / ﻿42.71°N 84.56°W
269,270,Beaumont,Texas,112556,115282,−2.36%,82.5 sq mi,213.7 km2,"1,397/sq mi",539/km2,30°05′N 94°09′W﻿ / ﻿30.08°N 94.15°W
270,271,Odessa,Texas,112483,114428,−1.70%,51.1 sq mi,132.3 km2,"2,239/sq mi",864/km2,31°53′N 102°21′W﻿ / ﻿31.88°N 102.35°W
271,272,Pueblo,Colorado,112368,111876,+0.44%,55.4 sq mi,143.5 km2,"2,019/sq mi",780/km2,38°16′N 104°37′W﻿ / ﻿38.27°N 104.61°W
272,273,Peoria,Illinois,111666,113150,−1.31%,48.0 sq mi,124.3 km2,"2,357/sq mi",910/km2,40°45′N 89°37′W﻿ / ﻿40.75°N 89.62°W
273,274,Downey,California,111645,114355,−2.37%,12.4 sq mi,32.1 km2,"9,222/sq mi","3,561/km2",33°56′N 118°08′W﻿ / ﻿33.94°N 118.13°W
274,275,Pompano Beach,Florida,111348,112046,−0.62%,24.0 sq mi,62.2 km2,"4,669/sq mi","1,803/km2",26°14′N 80°08′W﻿ / ﻿26.24°N 80.13°W
275,276,Miami Gardens,Florida,110867,111640,−0.69%,18.2 sq mi,47.1 km2,"6,134/sq mi","2,368/km2",25°57′N 80°14′W﻿ / ﻿25.95°N 80.24°W
276,277,Temecula,California,110846,110003,+0.77%,37.3 sq mi,96.6 km2,"2,949/sq mi","1,139/km2",33°29′N 117°08′W﻿ / ﻿33.49°N 117.13°W
277,278,Everett,Washington,110812,110629,+0.17%,33.2 sq mi,86.0 km2,"3,332/sq mi","1,286/km2",47°57′N 122°11′W﻿ / ﻿47.95°N 122.19°W
278,279,Costa Mesa,California,110750,111918,−1.04%,15.8 sq mi,40.9 km2,"7,083/sq mi","2,735/km2",33°40′N 117°55′W﻿ / ﻿33.67°N 117.91°W
279,280,Ventura[aa],California,109925,110763,−0.76%,21.9 sq mi,56.7 km2,"5,058/sq mi","1,953/km2",34°16′N 119°15′W﻿ / ﻿34.27°N 119.25°W
280,281,Sparks,Nevada,109796,108445,+1.25%,36.4 sq mi,94.3 km2,"2,979/sq mi","1,150/km2",39°34′N 119°43′W﻿ / ﻿39.57°N 119.72°W
281,282,Santa Maria,California,109711,109707,,22.8 sq mi,59.1 km2,"4,812/sq mi","1,858/km2",34°56′N 120°26′W﻿ / ﻿34.93°N 120.44°W
282,283,Sugar Land,Texas,109373,111026,−1.49%,40.5 sq mi,104.9 km2,"2,741/sq mi","1,058/km2",29°35′N 95°38′W﻿ / ﻿29.59°N 95.63°W
283,284,Greeley,Colorado,109323,108795,+0.49%,48.9 sq mi,126.7 km2,"2,225/sq mi",859/km2,40°25′N 104°46′W﻿ / ﻿40.41°N 104.77°W
284,285,South Fulton,Georgia,108575,107436,+1.06%,85.2 sq mi,220.7 km2,"1,261/sq mi",487/km2,33°40′N 84°34′W﻿ / ﻿33.66°N 84.57°W
285,286,Dearborn,Michigan,108420,109976,−1.41%,24.2 sq mi,62.7 km2,"4,544/sq mi","1,754/km2",42°19′N 83°13′W﻿ / ﻿42.31°N 83.21°W
286,287,Concord,North Carolina,107697,105240,+2.33%,63.5 sq mi,164.5 km2,"1,657/sq mi",640/km2,35°23′N 80°38′W﻿ / ﻿35.39°N 80.64°W
287,288,Edison,New Jersey,107626,107588,+0.04%,30.1 sq mi,78.0 km2,"3,574/sq mi","1,380/km2",40°30′N 74°21′W﻿ / ﻿40.50°N 74.35°W
288,289,Tyler,Texas,107192,105995,+1.13%,57.5 sq mi,148.9 km2,"1,843/sq mi",712/km2,32°19′N 95°19′W﻿ / ﻿32.32°N 95.31°W
289,290,Sandy Springs,Georgia,107180,108080,−0.83%,37.7 sq mi,97.6 km2,"2,867/sq mi","1,107/km2",33°56′N 84°22′W﻿ / ﻿33.93°N 84.37°W
290,291,West Covina,California,107017,109501,−2.27%,16.0 sq mi,41.4 km2,"6,844/sq mi","2,642/km2",34°04′N 117°55′W﻿ / ﻿34.06°N 117.91°W
291,292,Green Bay,Wisconsin,107015,107395,−0.35%,45.5 sq mi,117.8 km2,"2,360/sq mi",910/km2,44°31′N 87°59′W﻿ / ﻿44.52°N 87.99°W
292,293,Centennial,Colorado,106966,108418,−1.34%,29.7 sq mi,76.9 km2,"3,650/sq mi","1,410/km2",39°35′N 104°52′W﻿ / ﻿39.59°N 104.87°W
293,294,Jurupa Valley,California,106941,105053,+1.80%,42.9 sq mi,111.1 km2,"2,449/sq mi",946/km2,34°00′N 117°28′W﻿ / ﻿34.00°N 117.47°W
294,295,El Monte,California,106907,109450,−2.32%,9.6 sq mi,24.9 km2,"11,401/sq mi","4,402/km2",34°04′N 118°02′W﻿ / ﻿34.07°N 118.03°W
